last_review,number_of_reviews,room_type,host_host_id,bed_type,price,host_host_id.1,property_type,address_country,host_host_is_superhost,host_host_total_listings_count,address_market,availability_availability_30,availability_availability_60,availability_availability_90,availability_availability_365,review_year,review_month,review_day
2018-06-15,16,Private room,30738572,Real Bed,73,30738572,House,Australia,False,1,Sydney,0,0,0,151,2018,06,15
2019-02-10,35,Entire home/apt,116797836,Real Bed,106,116797836,Apartment,Spain,False,5,Barcelona,2,5,17,56,2019,02,10
2017-07-15,3,Entire home/apt,4367293,Real Bed,274,4367293,House,Australia,False,2,Sydney,0,0,0,0,2017,07,15
2019-02-18,232,Entire home/apt,1776707,Real Bed,95,1776707,Guesthouse,United States,False,2,New York,23,50,78,352,2019,02,18
2019-02-17,28,Private room,31113999,Real Bed,447,31113999,Hotel,Hong Kong,False,42,Hong Kong,21,51,81,160,2019,02,17
2017-08-21,1,Entire home/apt,133732087,Real Bed,250,133732087,Apartment,United States,False,1,New York,0,0,0,0,2017,08,21
2019-01-18,6,Entire home/apt,33873516,Real Bed,500,33873516,Condominium,United States,False,6,New York,3,6,17,169,2019,01,18
2019-01-16,83,Entire home/apt,34904037,Real Bed,25,34904037,Apartment,Portugal,False,6,Porto,11,20,20,20,2019,01,16
2019-01-11,10,Entire home/apt,47692011,Real Bed,348,47692011,Condominium,Turkey,False,13,Istanbul,30,60,90,365,2019,01,11
2017-08-20,3,Private room,130413950,Real Bed,60,130413950,Apartment,Spain,False,2,Barcelona,0,0,0,0,2017,08,20
2018-12-31,5,Entire home/apt,37688229,Real Bed,169,37688229,Apartment,United States,False,1,New York,0,0,5,20,2018,12,31
2018-04-11,1,Private room,137887561,Real Bed,98,137887561,House,Portugal,False,5,Porto,29,59,89,357,2018,04,11
2019-02-24,57,Entire home/apt,141447851,Real Bed,50,141447851,Apartment,Canada,False,1,Montreal,13,35,61,327,2019,02,24
2019-01-07,30,Private room,118240312,Real Bed,135,118240312,Condominium,United States,True,1,New York,1,6,24,204,2019,01,07
2019-01-23,37,Entire home/apt,138913479,Real Bed,130,138913479,Apartment,United States,False,1,New York,10,40,70,160,2019,01,23
2018-08-30,16,Entire home/apt,10512713,Real Bed,95,10512713,Condominium,Canada,False,1,Montreal,0,0,0,96,2018,08,30
